name, dist, ra, dec, type, magG, magG_err, magI, magI_err, g-i, gi_err, re, re_err, mue, mue_err, star mask, DTRGB, cz, Other names

LVJ1218+4655, 7.2, 12:18:11.2, 46:55:02.0, dI, 16.49, 0.02, 16.26, 0.03, 0.22, 0.01, 16.2, 0.6, 23.43, 0.07, N, 8.28, 387(f), S5(a)
dw1218+4748, 7.2, 12:18:18.8, 47:48:17.5, dE, 21.33, 0.18, 20.76, 0.21, 0.57, 0.08, 4.2, 0.5, 26.22, 0.14, N, P1(a)
dw1218+4801, 7.2, 12:18:51.2, 48:01:28.4, dE, 23.35, 0.18, 22.94, 0.17, 0.41, 0.14, 2.2, 0.3, 26.73, 0.27, N
dw1219+4743, 7.2, 12:19:06.2, 47:43:49.3, dE, 18.53, 0.16, 18.12, 0.17, 0.41, 0.04, 10.4, 1.3, 25.57, 0.1, N, 7.3(b), S6(a) DF6(b) KK132(d)
UGC7356    , 7.2, 12:19:09.0, 47:05:23.9, dE_N, 15.28, 0.09, 14.75, 0.1, 0.53, 0.05, 25.7, 1.7, 23.83, 0.07, N, 7.28, 135(f), KDG101 S7(a)
dw1219+4921, 7.2, 12:19:17.8, 49:21:20.9, dE, 19.93, 0.1, 19.45, 0.12, 0.48, 0.04, 4.3, 0.9, 24.74, 0.23, N
dw1219+4718, 7.2, 12:19:27.3, 47:18:44.5, dI, 18.47, 0.08, 18.13, 0.07, 0.34, 0.02, 4.5, 0.2, 23.65, 0.09, N,
dw1219+4727, 7.2, 12:19:33.2, 47:27:05.4, dE_N?, 16.87, 0.1, 16.39, 0.1, 0.48, 0.02, 14.4, 1.5, 24.84, 0.13, N, 785(f), BTS118(g) KK, 134(d) S8(a)
dw1219+4705, 7.2, 12:19:36.0, 47:05:35.8, dE_N, 18.35, 0.12, 17.83, 0.12, 0.52, 0.03, 9.4, 0.9, 25.26, 0.09, N, >10.1(b), 358(c)
dw1219+4939, 7.2, 12:19:50.1, 49:39:26.7, dE, 20.05, 0.11, 19.59, 0.13, 0.46, 0.03, 3.3, 0.3, 24.67, 0.14, N
dw1220+4919, 7.2, 12:20:05.0, 49:19:18.0, dE, 19.78, 0.04, 19.43, 0.06, 0.35, 0.05, 2.8, 0.1, 24.04, 0.12, N
dw1220+4922, 7.2, 12:20:14.4, 49:22:51.6, dE, 19.95, 0.09, 19.51, 0.12, 0.44, 0.05, 5.8, 0.3, 25.57, 0.11, N
UGC7392    , 7.2, 12:20:17.5, 48:08:11.9, dI, 15.86, 0.02, 15.59, 0.03, 0.26, 0.01, 16.0, 0.3, 22.54, 0.02, N, 806(f), S10(a)
dw1220+4729, 7.2, 12:20:30.2, 47:29:26.7, dE, 20.12, 0.35, 19.84, 0.27, 0.28, 0.12, 13.7, 2.0, 27.59, 0.2, N
dw1220+4700, 7.2, 12:20:40.2, 47:00:03.1, dE, 17.07, 0.06, 16.53, 0.06, 0.55, 0.01, 14.8, 0.8, 24.92, 0.06, N, >12.5(b)
UGC7401    , 7.2, 12:20:49.1, 47:49:44.2, Im, 15.19, 0.03, 14.89, 0.04, 0.3, 0.01, 29.8, 0.6, 24.3, 0.02, N, 759(f), S13(a)
dw1220+4649, 7.2, 12:20:54.9, 46:49:48.4, dE, 18.82, 0.13, 18.32, 0.1, 0.5, 0.05, 11.5, 0.7, 25.96, 0.05, N, S11(a)
dw1220+4748, 7.2, 12:20:55.8, 47:48:59.4, dE, 21.98, 0.38, 21.61, 0.31, 0.36, 0.13, 4.6, 0.9, 26.63, 0.25, N
dw1222+4755, 7.2, 12:22:54.9, 47:55:42.6, dE, 18.06, 0.02, 17.62, 0.03, 0.44, 0.02, 4.9, 0.1, 23.53, 0.05, N
dw1223+4848, 7.2, 12:23:12.8, 48:48:56.4, dE, 20.9, 0.22, 20.35, 0.16, 0.55, 0.07, 4.7, 0.6, 25.99, 0.18, Y
dw1223+4739, 7.2, 12:23:46.2, 47:39:32.7, dE_N, 18.02, 0.09, 17.56, 0.08, 0.45, 0.04, 17.2, 2.3, 25.69, 0.08, N, S16(a)
dw1223+4920, 7.2, 12:23:55.8, 49:20:15.2, dE, 18.37, 0.07, 17.98, 0.08, 0.39, 0.02, 6.7, 0.4, 24.59, 0.08, N

dw1233+2535, 11.9, 12:33:11.0, 25:35:55.2, dE, 18.65, 0.07, 18.24, 0.08, 0.4, 0.01, 4.7, 0.2, 23.63, 0.07, N
dw1233+2543, 11.9, 12:33:18.4, 25:43:35.1, dE, 20.57, 0.1, 20.22, 0.11, 0.35, 0.03, 4.1, 0.2, 25.48, 0.1, N
dw1234+2531, 11.9, 12:34:24.2, 25:31:20.2, dE_N, 16.65, 0.03, 16.14, 0.02, 0.51, 0.01, 19.9, 0.5, 24.31, 0.04, N, 501(a)
