z,log_mstar,logstellardens,sigma
0.10696,11.2378,9.12451,240.1835
0.16428,11.3363,8.73946,263.09381
0.08562,10.7755,8.79665,156.7095
0.08698,10.4111,8.75307,79.1511
0.1647,11.1641,8.89151,123.4099
0.06165,10.6685,8.75063,229.2755
0.1319,10.8462,8.69759,118.2008
0.06358,10.8187,8.98713,154.8943
0.09727,10.3195,8.05906,175.3459
0.11092,10.8371,9.04071,191.8549
0.08772,11.2884,9.05062,254.27341
0.09147,10.913,8.69542,147.8512
0.04619,10.352,7.98607,38.4331
0.06207,10.6154,9.17494,111.8768
0.04652,10.2882,9.38424,195.8551
0.0667,10.7154,9.1282,171.00951
0.08909,10.4323,8.66805,102.0341
0.12528,11.3492,8.97654,224.4695
0.09598,10.9199,8.50229,147.82339
0.06503,11.3773,9.13005,268.70041
0.04719,10.6471,8.90867,182.5946
0.10902,10.3636,8.63756,79.6977
0.04705,10.3942,8.77928,138.1783
0.06605,10.1533,8.47615,86.2431
0.06262,10.1972,8.25768,77.6116
0.06356,11.0059,9.43029,244.5923
0.08659,10.216,8.2026,25.6668
0.12559,10.7139,8.54105,147.28461
0.13696,11.1496,8.61876,139.7885
0.09211,10.8016,9.09411,223.0351
0.06278,10.3189,8.74756,88.644
0.06599,10.1584,8.46684,83.7897
0.02802,9.5355,8.81063,72.165
0.08662,10.516,8.85381,142.3959
0.06204,10.6206,8.663,157.72861
0.09729,11.2661,8.94975,217.59351
0.12591,10.6524,8.26974,109.8298
0.08085,10.6487,8.99634,127.6989
0.08253,10.0988,8.43355,53.9847
0.0819,10.3888,8.94124,86.8589
0.04731,10.2951,9.14707,139.6378
0.20271,10.9516,8.4819,161.3067
0.2001,11.2718,8.72728,228.23869
0.1688,10.9766,8.68521,102.2603
0.04481,10.5326,8.61541,108.8497
0.09246,10.6318,8.83353,143.7238
0.06515,10.2194,8.93272,128.27409
0.05667,10.5568,9.21408,161.16631
0.07931,11.2138,8.95743,201.2984
0.21673,11.1052,8.48967,184.1844
0.03252,10.6438,9.03902,172.1131
0.03316,10.7351,9.05323,163.9453
0.10685,10.7022,8.77955,140.3853
0.07832,10.4577,8.73616,134.9239
0.12398,11.0879,8.87262,226.4305
0.08773,10.3881,8.61497,99.4436
0.08157,10.3162,8.84433,123.9858
0.07982,10.1328,8.55709,99.4823
0.088,10.1609,8.37623,87.3447
0.09842,11.0782,8.96,228.09641
0.08711,10.807,8.80137,180.3916
0.045,10.4055,9.2096,145.9716
0.0933,10.7333,8.82131,140.1555
0.03181,9.5222,8.77793,78.6473
0.03228,10.1004,8.68115,89.9048
0.21513,10.9621,8.74537,188.6927
0.09204,10.1229,8.67962,165.67619
0.04376,10.516,8.92972,130.27071
0.19701,11.2745,8.93678,192.6664
0.04341,9.862,8.63172,64.0953
0.06924,10.9134,9.18335,165.5385
0.08843,10.6412,9.0112,124.0371
0.06764,11.1092,9.35109,138.7448
0.03333,9.5714,8.07754,80.7942
0.16305,11.2323,8.76221,119.3653
0.18221,10.9906,8.69298,90.5566
0.08582,10.8328,8.67101,124.1564
0.08815,10.9317,9.16415,120.1304
0.18904,11.5258,8.91698,218.767
0.06538,10.5711,8.76689,121.6741
0.06563,10.7642,8.60209,65.6719
0.18412,11.2066,8.88912,135.5553
0.11152,10.3106,8.40873,48.7766
0.0856,10.2598,8.54875,82.1749
0.12721,11.165,8.87805,173.4185
0.12252,11.0171,9.00132,143.9346
0.17654,11.3023,8.57699,161.6183
0.0959,11.1063,8.62183,179.4576
0.02149,10.0215,8.10918,55.5182
0.0956,10.8335,8.52314,106.3657
0.17472,11.2637,8.85755,179.1044
0.04723,10.9333,9.0758,122.6464
0.09303,10.7157,8.79026,128.38029
0.06687,11.118,9.29175,160.6028
0.09536,10.3401,8.54992,89.0055
0.17438,11.3036,9.15307,259.37299
0.13622,10.8707,8.74632,127.9657
0.06616,10.2894,8.66819,73.7196
0.13438,11.1956,8.98392,156.2572
0.13752,11.5386,8.86966,278.01169
0.12288,11.1888,8.91739,218.11211
0.12416,10.5851,8.48058,67.0091
0.04422,10.4597,9.06418,105.9621
0.04498,10.808,8.89195,122.772
0.04513,10.4527,8.89271,98.3474
0.04392,9.9215,8.53146,24.7548
0.14161,11.3789,9.17458,223.7327
0.06763,10.3894,8.66218,79.631
0.06251,10.5396,9.03885,134.4301
0.09109,10.9542,8.91711,104.1885
0.13949,11.3041,9.07932,205.6739
0.09613,10.4635,8.81841,146.476
0.06719,10.662,9.18532,128.7653
0.04461,10.7563,9.06209,122.2901
0.04559,10.2871,8.61095,63.9169
0.04621,9.9913,9.06687,121.5992
0.03229,9.8868,8.92386,81.4307
0.09733,10.6736,8.78727,116.6547
0.09318,10.7266,8.18495,90.0874
0.04624,9.617,8.32944,62.5724
0.0205,10.0186,8.92747,84.4275
0.03272,10.1023,8.89062,88.8975
0.12268,10.6311,9.00939,124.8599
0.08925,10.8742,9.00034,161.36771
0.06274,10.2908,8.47442,89.705
0.06818,10.6369,9.06128,151.6825
0.06221,11.2318,9.13441,183.4752
0.12781,10.6982,8.23667,65.3158
0.09527,10.8075,8.89026,159.491
0.09712,10.8215,9.14475,206.09711
0.09497,10.7517,9.3614,248.6897
0.09674,10.5293,8.55121,113.3974
0.09685,11.2337,8.76975,155.1673
0.06864,10.8598,9.06693,144.9227
0.08238,10.7696,9.13275,155.4875
0.03346,10.1629,8.30009,78.0322
0.0949,10.7261,8.46231,150.744
0.09566,11.0073,9.10352,117.748
0.09947,10.9603,9.05877,132.131
0.09493,11.2052,9.0172,172.78329
0.09334,11.3011,8.69229,215.5612
0.12223,10.5313,8.48006,79.6246
0.06252,11.0204,9.68143,257.70959
0.04124,10.6488,9.33776,207.2795
0.14414,10.8953,8.47356,126.3283
0.2042,11.3178,8.64683,146.8358
0.09565,10.8891,8.9453,149.5119
0.04255,10.8489,8.97917,155.3591
0.08604,11.0139,8.65607,106.9052
0.09716,10.678,8.67698,98.7197
0.04847,10.8271,8.93613,168.9691
0.03334,10.1978,9.01363,138.647
0.08651,10.5607,8.96123,222.2021
0.04387,9.9828,8.24771,55.926
0.0424,10.2452,9.122,112.9823
0.07079,10.2959,8.96601,125.324
0.1971,11.0581,8.79927,187.1909
0.09702,11.2232,8.99371,204.24899
0.09124,11.0456,8.85561,119.7292
0.11644,10.7103,8.71661,160.1252
0.04363,10.7272,8.82971,144.0284
0.06962,10.7089,8.69385,89.7884
0.11603,10.7887,8.6447,76.8509
0.06922,10.6519,8.58693,68.8231
0.06622,10.7499,8.62426,115.4064
0.06929,10.8827,8.70699,135.6584
0.04441,10.2551,8.83182,142.94991
0.16048,11.4601,8.84192,226.2206
0.06618,10.6635,8.81457,139.00751
0.0458,10.6913,8.79197,124.0254
0.06958,10.9679,9.04447,167.1488
0.06735,10.924,9.15739,127.9762
0.09345,10.8172,9.02254,132.9272
0.11693,10.9473,8.5429,179.14149
0.09592,11.5291,8.92463,191.34489
0.15502,11.2159,9.162,200.4839
0.12165,10.7101,8.85668,100.4658
0.0965,10.826,9.07318,134.8013
0.09912,11.0186,8.81665,100.7797
0.17649,11.024,8.83628,130.4075
0.12468,10.7196,8.95637,133.823
0.1356,10.8811,8.99639,153.9828
0.09725,10.83,8.99499,174.4467
0.09525,11.1267,9.08728,180.56509
0.09563,10.8078,8.80339,135.95551
0.09669,11.4807,8.98759,178.1467
0.09555,11.036,8.37279,115.8363
0.04429,9.6123,8.4576,45.5518
0.18591,11.3054,8.76982,189.94501
0.09669,10.9864,9.01033,186.86259
0.03296,9.9043,8.81417,85.2761
0.18436,11.0524,9.16759,201.5863
0.09558,10.8485,9.20362,180.2901
0.09601,10.894,8.464,120.2961
0.04922,9.983,8.91923,79.2417
0.10197,11.5672,8.66257,219.79131
0.16209,11.0237,8.61059,99.7657
0.09541,10.7895,8.53698,100.9199
0.09546,11.3687,8.67952,204.0273
0.09733,10.6494,8.86062,128.8513
0.09434,11.1912,9.07591,212.1208
0.08816,10.5411,9.22106,204.55991
0.09924,11.0114,8.7633,172.37109
0.09466,10.0046,8.39093,107.947
0.09543,10.607,8.44853,125.6577
0.11727,10.9747,8.75622,170.29311
0.11949,10.7099,8.65376,126.1101
0.1272,10.6067,8.76101,166.4117
0.12179,10.6277,8.33996,90.3578
0.12433,10.7532,9.19051,185.5862
0.0966,10.6026,8.96343,105.6165
0.07176,10.7212,8.8912,82.2321
0.10301,10.6382,8.73077,141.5887
0.09245,10.6727,8.80766,146.35091
0.10424,11.0538,9.06828,204.4993
0.1233,10.7869,9.08121,160.71069
0.06966,10.6558,8.56032,103.1717
0.18708,11.1495,8.75765,214.41769
0.12512,10.8119,8.50579,102.0159
0.12151,10.968,8.88484,183.72479
