cataid	logmstar
8170	11.123
8172	11.0068
8173	11.3474
8174	10.824
8176	9.89667
8178	10.1301
8184	9.52043
8186	9.76923
8188	10.3273
8191	11.0146
8203	10.2999
8216	10.1672
8219	11.6063
8220	10.0814
8221	10.3069
8222	10.9068
8223	9.98754
8224	10.111
8225	10.8582
8226	10.9168
8227	10.4785
8228	9.99591
8237	10.3164
8238	10.6788
8239	9.22262
8241	10.1522
8242	11.043
8243	10.7244
8245	10.7443
8255	9.46154
8258	11.1239
8259	10.8417
8260	10.4095
8262	10.8967
8263	10.64
8264	10.2691
8268	9.2716
8269	9.63637
8270	10.2151
8276	11.1805
8277	10.336
8278	9.38107
8279	10.4712
8280	10.1208
8282	10.8511
8286	10.3758
8289	10.9352
8290	11.2992
8293	10.9726
8297	9.73206
8298	10.7725
8299	10.7309
8300	9.94802
8301	10.3958
8302	11.1354
8303	10.2251
8304	10.9287
8305	9.91247
8306	10.6258
8307	10.1464
8308	10.6917
8309	10.6634
8312	11.3284
8314	10.0322
8320	9.97947
8322	10.5895
8324	10.8356
8325	10.815
8329	11.2451
8330	11.2894
8332	10.2369
8334	10.8164
8335	9.40871
8336	9.68363
8337	10.5765
8338	10.9423
8339	10.7575
8340	10.8375
8344	10.243
8345	9.28197
8349	10.4508
8353	9.27289
8358	10.6691
8360	10.4447
8361	10.326
8363	10.5118
8365	10.6067
8366	10.8756
8367	10.736
8368	11.0921
8371	10.8874
8377	10.7553
8378	11.195
8380	10.4012
8382	10.7336
8384	10.7319
8385	10.9581
8386	10.6421
8387	10.8272
8388	10.3175
8389	11.3042
8390	10.4152
8391	8.84334
8392	10.205
8393	9.39974
8394	9.13383
8397	10.8626
8399	9.88558
8401	10.9383
8402	11.1228
8403	11.292
8404	8.80846
8405	10.7574
8408	10.417
8410	10.3536
8414	10.9607
8415	10.6179
8416	10.3606
8417	9.88274
8418	10.8892
8419	10.924
8420	9.83193
8421	10.0262
8423	10.5427
8426	10.657
8428	11.5299
8430	10.8082
8435	10.9237
8438	11.1874
8441	10.8387
8445	10.4226
8450	9.55368
8452	10.6375
8453	9.53616
8454	10.8027
8455	10.1552
8457	10.8993
8460	10.7843
8461	11.0826
8462	11.0123
8467	11.0665
8470	10.8653
8472	10.7378
8473	11.0375
8475	10.1271
8477	10.6626
8485	9.26062
8487	10.5981
8488	9.31294
8491	9.93081
8495	9.8339
8496	10.4876
8497	10.9649
8498	10.7264
8499	10.9809
8501	10.7372
8502	10.4329
8505	10.927
8507	11.166
8514	10.6658
8517	9.63021
8521	11.2028
8527	9.68208
8533	9.86262
8534	10.9798
8536	9.60682
8538	10.5058
8539	10.0263
8540	10.059
8541	11.1165
8547	10.7052
8548	11.0582
8550	10.694
8554	11.3187
8563	9.65826
8566	10.7573
8568	10.4754
8570	9.11187
8573	10.8934
8575	11.287
8576	10.401
8577	10.4123
8578	10.3497
8580	10.9583
8584	11.0084
8585	11.0828
8590	11.2123
8592	11.21
8593	10.7712
8598	10.2394
8600	10.7538
8602	10.6122
8608	10.4054
8609	11.003
8611	10.8523
8612	10.7278
8615	10.2747
8616	11.2663
8618	10.7966
8620	11.2879
8630	10.6466
8632	11.0756
8635	10.6346
8636	10.7978
8638	10.7738
8643	9.97243
8646	10.6957
8649	11.1302
8651	10.3958
8652	9.37836
8655	10.0334
8661	10.5993
8663	10.512
8666	10.7001
8672	10.5689
8673	10.7882
8674	10.2271
8675	10.9006
8676	11.0897
8677	9.42396
8678	10.041
8679	10.5398
8681	10.6669
8683	11.1132
8684	10.1148
8685	10.3836
8686	10.5454
8694	10.4045
8701	11.0113
8703	10.3573
8706	9.97511
8708	11.059
8709	10.2976
8713	10.8741
8717	11.6289
8718	10.8782
8721	10.0279
8722	10.6633
8724	10.6732
8725	11.1171
8726	10.8563
8727	10.9288
8730	11.2514
8731	10.5126
8738	11.0116
8741	10.4696
8743	10.901
8745	10.6944
8746	10.74
8747	9.72942
8760	10.2354
8763	11.2047
8764	10.6857
8765	11.1035
8770	10.6334
8771	10.8039
8773	11.2709
8775	11.3698
8777	10.992
8778	10.3792
8780	10.2182
8783	10.903
8786	10.7345
8789	10.9705
8790	10.0366
8793	9.6876
8800	10.2555
8803	10.6214
8805	8.99081
8806	9.92913
8807	10.416
8811	10.4278
8812	10.0682
8813	8.56096
8814	10.8302
8815	10.2099
8816	10.6526
8818	11.0275
8819	10.8459
8820	11.3438
8821	10.2555
8822	11.3121
8823	8.92526
8825	9.53635
8826	10.9455
8827	10.8153
8829	10.6951
8830	10.823
8843	10.6733
8845	11.2158
8847	10.9271
8848	10.7803
8853	9.42892
8855	9.92448
8860	10.9696
8865	10.633
8866	9.48282
8867	9.94464
8869	10.6713
8870	10.8572
8871	9.69111
8872	9.97077
8873	10.58
8874	10.0956
8875	11.1161
8877	10.9412
8878	10.2427
8879	10.8928
8880	10.1644
8882	11.0819
8885	11.1404
8887	10.961
8889	10.6839
8892	9.58521
8893	11.2449
8894	11.5813
8908	10.9462
8912	11.0322
8913	8.76767
8915	10.1486
8916	11.1396
8917	10.7692
8921	10.5711
8926	11.095
8932	10.8578
8936	10.4211
8937	10.2943
8946	10.4356
8949	9.67191
8951	9.86347
8953	10.8204
8954	8.99461
8957	9.8987
8958	9.31874
8962	10.9846
8963	10.9168
8975	10.0207
8977	10.3246
8983	11.1846
8984	10.9397
8985	10.8741
8986	9.16243
8987	10.7288
8988	10.3601
8990	10.0595
8991	9.3957
8992	10.1867
8993	9.96483
8994	10.9664
8996	9.95046
8997	9.93607
8998	10.5337
8999	10.0802
9000	9.01269
9005	10.732
9008	10.8431
9010	9.42633
9012	11.1317
9025	9.825
9031	10.9136
9032	9.72817
9033	11.2529
9034	10.3931
9035	9.85496
9036	10.2991
9037	10.5163
9038	8.91592
9039	11.1169
9040	10.4058
9041	9.89082
9042	10.9772
9043	10.4041
9044	10.7843
9045	10.1663
9047	11.6154
9052	10.6582
9056	10.7343
9061	9.43911
9062	10.2646
9064	9.1264
9065	10.1536
9067	9.4319
9069	10.2325
9070	9.71193
9071	9.62117
9072	10.9772
9073	9.97063
9077	10.6729
9078	10.5889
9079	11.5038
9087	10.9982
9091	10.3235
9098	10.4226
9099	10.2359
9108	9.75186
9109	9.94332
9110	11.0435
9112	9.4268
9114	9.92464
9115	9.05435
9116	10.4039
9117	11.0057
9119	10.6263
9120	10.5149
9121	10.0448
9122	10.132
9123	10.5512
