catid logMstar
184147 9.48006
184202 10.8912
184261 10.2826
184274 9.95133
184308 9.98278
184366 9.48711
184550 10.5021
184577 10.4573
184648 10.5982
184658 10.5273
184686 10.4438
184926 10.8857
184932 10.374
185088 10.301
185365 10.3945
185455 9.99879
185567 10.6991
185592 10.4823
185595 10.1517
185596 10.3862
185654 10.3339
185884 9.82541
185885 10.1011
186015 10.2413
186059 10.3137
186170 9.77603
186202 9.74014
186405 10.3479
186468 10.3121
186470 10.52
186500 10.7562
186507 10.6748
186537 10.9285
186538 10.7732
186539 10.5858
196977 9.97271
197481 9.91507
197842 9.9968
197884 9.55236
198343 10.5457
198506 10.4409
198507 10.3615
198631 10.5264
202359 10.2141
202376 9.36119
202399 10.9259
202408 9.94896
202480 10.5459
203114 10.9582
203140 10.9645
203833 10.9042
204490 10.9567
204839 11.1781
204877 10.1349
205085 11.2015
205086 10.474
205155 9.73046
205158 9.49808
205160 10.1328
205161 11.094
205211 10.443
208560 10.3906
208591 10.1287
208652 10.5003
208666 8.99662
208860 9.61719
208898 10.2493
208981 10.3882
209128 10.8887
209184 10.404
209185 10.7417
209368 10.9018
209680 11.121
209681 10.0861
209706 10.5435
210070 9.77772
210146 10.4891
210147 10.7867
210230 10.6568
210346 9.61035
210375 10.5732
210467 10.3702
210471 9.86162
210480 9.2963
210669 10.4468
210748 10.6425
210818 9.59156
210823 9.97124
210851 9.85992
210887 9.8755
210948 10.6192
214211 10.9247
214250 11.4463
214264 9.86653
214267 10.2
214269 9.83246
214285 10.0576
214293 10.7547
214296 10.0395
214356 10.6298
214363 11.003
214483 10.0859
214678 9.83408
214777 10.7266
214895 10.2583
215039 10.4981
215052 9.82016
215160 10.3516
215289 10.8162
215306 10.088
215721 10.2601
215821 10.0513
216156 9.26894
216166 10.2289
216184 10.4779
216187 10.5985
216190 10.1505
216219 11.039
216262 9.68257
216396 10.6895
216643 10.2154
216716 10.6956
216897 10.5717
217009 9.71699
217011 10.3032
218688 10.2392
21929 9.84468
21953 10.8194
219703 10.295
219728 9.9256
219730 9.92078
219833 10.9091
21994 10.027
220066 10.4269
220069 9.93134
220112 10.1545
220216 10.5239
220218 10.5328
220221 10.3897
220276 9.96834
220280 10.045
220282 10.4538
220284 9.31495
220333 10.5267
220394 10.3263
220437 11.0869
220438 9.94331
220462 9.99101
220465 11.3228
220467 10.7711
220499 10.2784
220511 10.915
220876 10.7522
22099 10.265
221013 10.7604
221017 10.8489
221053 10.303
221058 10.2453
221094 9.94561
221206 10.1383
221276 10.0255
221277 10.3113
22128 9.80612
221281 10.3696
221283 10.5229
221332 10.6178
221334 10.4727
221338 10.0027
221339 10.6729
221342 9.82027
22240 9.43397
22279 10.5121
22457 9.61257
22582 11.0666
22583 10.3936
22595 11.1282
22596 10.7316
22597 9.69359
227266 10.9554
227278 10.1525
227315 10.0974
227436 9.52324
227479 10.3733
227484 10.1396
227616 9.91879
227617 10.4607
228142 9.20549
228187 10.4486
228222 10.3086
22836 10.6145
22849 10.5416
