catid,logMstar,z
3.03996E+17,10.26813699,0.04153075
3.03996E+17,10.05268391,0.04043934
3.04E+17,11.23379535,0.09532314
3.04E+17,10.98846731,0.03341235
3.04E+17,10.34125114,0.04497541
3.04015E+17,11.57536869,0.098474
3.04026E+17,10.71264093,0.09594639
3.04032E+17,11.90457358,0.2156218
3.04034E+17,11.33912205,0.04600343
3.04038E+17,11.46773758,0.194159
3.04039E+17,11.66388507,0.2160878
3.04045E+17,11.63021857,0.1820915
3.04045E+17,11.57534063,0.185742
3.04049E+17,11.73104648,0.186459
3.04062E+17,11.46411636,0.1909076
3.04069E+17,11.57972913,0.1840709
3.04081E+17,11.21491761,0.04523472
3.04081E+17,11.56078111,0.1825198
3.04096E+17,11.51560874,0.1837544
3.04101E+17,11.54272993,0.1843295
3.04106E+17,11.28431916,0.1250771
3.04111E+17,11.43770015,0.09560979
3.04124E+17,11.0817857,0.09616082
3.04125E+17,11.30214687,0.09537001
3.04127E+17,11.56071344,0.1861651
3.04143E+17,11.53473177,0.116953
3.04144E+17,11.46605262,0.09508941
3.04157E+17,11.95165878,0.2720245
3.04158E+17,11.58274914,0.07115293
3.04159E+17,11.30637942,0.2050678
3.04167E+17,11.69329926,0.08384211
3.04168E+17,11.51555859,0.1876732
3.04168E+17,11.17941054,0.07994761
3.05121E+17,11.28533354,0.1269406
3.05125E+17,11.24737044,0.1494804
3.05126E+17,11.76894491,0.09594076
3.0514E+17,11.52349785,0.1253822
3.05146E+17,11.71705066,0.217612
3.05149E+17,12.01098471,0.09357442
3.05152E+17,11.5708638,0.09844736
3.05166E+17,10.2507935,0.06398848
3.05168E+17,10.69883107,0.06397337
3.05189E+17,10.62252312,0.04809754
3.05189E+17,11.41460584,0.09812863
3.05193E+17,11.71331635,0.07061815
3.05201E+17,10.87437206,0.04470693
3.05205E+17,11.50286023,0.2043797
3.05206E+17,11.64635085,0.2043857
3.05215E+17,11.39606825,0.07067554
3.05217E+17,11.68976773,0.09037467
3.05229E+17,11.51330316,0.07160487
3.05245E+17,11.42758636,0.1487465
3.05247E+17,10.82517391,0.04940629
3.0525E+17,11.25863254,0.09595764
3.05257E+17,11.83179749,0.2661946
3.05257E+17,10.13562664,0.0208566
3.05259E+17,11.63627459,0.09555726
3.05259E+17,11.05128429,0.09563772
3.05276E+17,11.66932356,0.2206051
